id,sku,ean,name,description,category_id,supplier_id,product_type,variant,colour,unit,case_pack,min_order_qty,weight_kg,active,discontinued_on,created_at
1,FJV-TNT-0001,6402026000011,Fjellvind Nordkapp Pro Footprint 2P Forest,Reliable footprint from Fjellvind's Nordkapp Pro range. 2P / Forest. A wholesale staple for outdoor retailers.,1,1,Footprint,2P,Forest,pcs,1,1,1.095,true,,2020-02-04
2,FJV-TNT-0002,6402026000028,Fjellvind Nordkapp Pro Footprint 1P Forest,"Fjellvind Nordkapp Pro: a footprint that balances weight, durability and price. 1P / Forest. Retail-ready packaging.",1,1,Footprint,1P,Forest,pcs,1,1,1.561,true,,2023-07-15
3,FJV-TNT-0003,6402026000035,Fjellvind Nordkapp Pro Footprint 4P Forest,The Nordkapp Pro footprint by Fjellvind. 4P / Forest. Popular with rental outfitters and clubs.,1,1,Footprint,4P,Forest,pcs,12,12,0.636,true,,2019-01-18
4,FJV-TNT-0004,6402026000042,Fjellvind Nordkapp Pro Footprint 3P Forest,"Fjellvind Nordkapp Pro Footprint for tents & shelters. 3P / Forest. Built for Nordic conditions, season after season.",1,1,Footprint,3P,Forest,pcs,12,12,1.157,true,,2026-03-18
5,FJV-TNT-0005,6402026000059,Fjellvind Kilpis Tarp Arctic White,Reliable tarp from Fjellvind's Kilpis range. Arctic White. A wholesale staple for outdoor retailers.,1,1,Tarp,Arctic White,Arctic White,pcs,1,1,2.211,true,,2024-08-03
6,FJV-TNT-0006,6402026000066,Fjellvind Kebne Tunnel Tent 3P Ochre,"Fjellvind Kebne: a tunnel tent that balances weight, durability and price. 3P / Ochre. Retail-ready packaging.",1,1,Tunnel Tent,3P,Ochre,pcs,1,1,2.001,true,,2020-07-14
7,FJV-TNT-0007,6402026000073,Fjellvind Kebne Tunnel Tent 4P Ochre,The Kebne tunnel tent by Fjellvind. 4P / Ochre. Popular with rental outfitters and clubs.,1,1,Tunnel Tent,4P,Ochre,pcs,1,1,7.433,true,,2022-08-07
8,FJV-TNT-0008,6402026000080,Fjellvind Kebne Tunnel Tent 1P Ochre,"Fjellvind Kebne Tunnel Tent for tents & shelters. 1P / Ochre. Built for Nordic conditions, season after season.",1,1,Tunnel Tent,1P,Ochre,pcs,12,12,4.664,true,,2022-11-28
9,FJV-TNT-0009,6402026000097,Fjellvind Kebne Tunnel Tent 2P Ochre,Reliable tunnel tent from Fjellvind's Kebne range. 2P / Ochre. A wholesale staple for outdoor retailers.,1,1,Tunnel Tent,2P,Ochre,pcs,1,1,1.572,true,,2026-03-12
10,FJV-TNT-0010,6402026000103,Fjellvind Boreal XT Tent 2P Black,"Fjellvind Boreal XT: a tent that balances weight, durability and price. 2P / Black. Retail-ready packaging.",1,1,Tent,2P,Black,pcs,1,1,2.911,true,,2025-10-01
11,FJV-TNT-0011,6402026000110,Fjellvind Kallio Eco Bivy Midnight Blue,The Kallio Eco bivy by Fjellvind. Midnight Blue. Popular with rental outfitters and clubs.,1,1,Bivy,Midnight Blue,Midnight Blue,pcs,6,6,0.744,true,,2019-01-07
12,FJV-TNT-0012,6402026000127,Fjellvind Kallio Eco Bivy Sunset Yellow,"Fjellvind Kallio Eco Bivy for tents & shelters. Sunset Yellow. Built for Nordic conditions, season after season.",1,1,Bivy,Sunset Yellow,Sunset Yellow,pcs,1,1,1.009,true,,2020-02-26
13,FJV-TNT-0013,6402026000134,Fjellvind Kallio Eco Bivy Sand,Reliable bivy from Fjellvind's Kallio Eco range. Sand. A wholesale staple for outdoor retailers.,1,1,Bivy,Sand,Sand,pcs,12,12,2.643,true,,2025-03-25
14,FJV-TNT-0014,6402026000141,Fjellvind Kallio Eco Bivy Forest,"Fjellvind Kallio Eco: a bivy that balances weight, durability and price. Forest. Retail-ready packaging.",1,1,Bivy,Forest,Forest,pcs,1,1,2.644,true,,2019-09-07
15,FJV-TNT-0015,6402026000158,Fjellvind Kaldo Pro Tent 3P Forest,The Kaldo Pro tent by Fjellvind. 3P / Forest. Popular with rental outfitters and clubs.,1,1,Tent,3P,Forest,pcs,6,6,6.073,true,,2026-02-27
16,FJV-TNT-0016,6402026000165,Fjellvind Kaldo Pro Tent 4P Forest,"Fjellvind Kaldo Pro Tent for tents & shelters. 4P / Forest. Built for Nordic conditions, season after season.",1,1,Tent,4P,Forest,pcs,6,6,4.332,true,,2025-11-26
